"location","lat","lon"
"Meadville, PA",41.6414438,-80.1514484
"Washington, DC",38.9072873,-77.0369274
"Amherst, MA. USA",42.3756919,-72.5198537
"Annandale-on-Hudson, New York",42.0218278,-73.9084197
"Annandale-on-Hudson",42.0218278,-73.9084197
"New York, NY. USA",40.7127753,-74.0059728
"Berea, KY",37.568694,-84.2963223
"San Luis Obispo, CA, USA",35.2827524,-120.6596156
"New York City, NY, USA",40.7127753,-74.0059728
"Ypsilanti, Michigan",42.2411499,-83.6129939
"Greenville, SC. USA",34.8484984,-82.4000158
"Gettysburg, PA",39.8309293,-77.2310955
"Grinnell, IA. USA",41.7434092,-92.7232456
"Claremont, California",34.096688,-117.7194007
"Worcester, MA. USA",42.2628113,-71.8024931
"Holland, MI. USA",42.7893867,-86.1089511
"New York City, New York",40.7127753,-74.0059728
"Ithaca, NY, USA",42.4439614,-76.5018807
"Harrisonburg, VA",38.4460017,-78.8697826
"Gambier, OH",40.3759296,-82.397183
"Easton, PA",40.688432,-75.2207323
"Baltimore, MD. USA",39.2905023,-76.6104072
"South Hadley, MA. USA",42.2591729,-72.5747934
"Oberlin, OH. USA",41.2939386,-82.2173786
"Delaware, Ohio, USA",40.2986724,-83.067965
"Ashland, VA",37.7590318,-77.4799837
"Portland, Oregon",45.515232,-122.6783853
"Memphis, TN, USA",35.1485812,-90.0518955
"Saratoga Springs, NY. USA",43.0833706,-73.7849756
"St. Bonaventure, NY. USA",42.0803426,-78.4750213
"Northfield, MN. USA",44.4582983,-93.161604
"Selinsgrove, PA",40.7989735,-76.8621935
"Richmond, VA",37.5407246,-77.4360481
"Lexington, VA, USA",37.7840208,-79.4428157
"Bellingham, WA, United States",48.7519112,-122.4786854
"New Wilmington, PA",41.1222812,-80.3328428
"Walla Walla, Washington, United States",46.0645809,-118.3430209
"Williamstown, MA. USA",42.7112633,-73.1994775
"York, PA",39.961066,-76.7269596
"Tacoma, WA, USA",47.2551307,-122.4419643
"Claremont, CA, USA",34.096688,-117.7194007
"Northfield, MN, USA",44.4582983,-93.161604
